Depth_[m],Depth_top_[m],Depth_bot_[m],Mode,D50,Grain_size_mean,Sort,Q90,Q99,F_0.06,F_0.07,F_0.08,F_0.09,F_0.11,F_0.13,F_0.15,F_0.17,F_0.2,F_0.23,F_0.27,F_0.31,F_0.36,F_0.42,F_0.49,F_0.58,F_0.67,F_0.78,F_0.91,F_1.06,F_1.24,F_1.44,F_1.68,F_1.95,F_2.28,F_2.65,F_3.09,F_3.6,F_4.19,F_4.88,F_5.69,F_6.63,F_7.72,F_9,F_10.48,F_12.21,F_14.22,F_16.57,F_19.31,F_22.49,F_26.2,F_30.53,F_35.56,F_41.43,F_48.27,F_56.23,F_65.51,F_76.32,F_88.91,F_103.58,F_120.67,F_140.58,F_163.77,F_190.8,F_222.28,F_258.95,F_301.68,F_351.46,F_409.45,F_477.01,F_555.71,F_647.41,F_754.23,F_878.67
0.553,0.55,0.555,59.52,33.39,50.88,2.64,139.46,324.4,0.01,0.01,0.02,0.04,0.06,0.1,0.14,0.2,0.26,0.32,0.37,0.39,0.39,0.37,0.35,0.32,0.3,0.28,0.31,0.35,0.39,0.46,0.54,0.64,0.76,0.9,1.06,1.24,1.43,1.63,1.82,2.01,2.18,2.35,2.5,2.66,2.83,3.02,3.23,3.48,3.75,4.03,4.3,4.53,4.71,4.82,4.89,4.69,4.37,3.95,3.45,2.93,2.44,2,1.64,1.34,1.05,0.76,0.46,0.17,0,0,0,0
0.563,0.56,0.565,52.36,29.58,41.19,2.51,106.07,221.53,0,0,0.01,0.01,0.03,0.05,0.08,0.13,0.19,0.27,0.34,0.39,0.41,0.4,0.38,0.36,0.33,0.32,0.35,0.39,0.44,0.51,0.6,0.7,0.82,0.97,1.14,1.33,1.54,1.75,1.96,2.16,2.35,2.53,2.7,2.86,3.05,3.26,3.5,3.79,4.1,4.43,4.75,5.02,5.24,5.41,5.24,4.87,4.33,3.69,3.02,2.37,1.8,1.35,1,0.66,0.32,0,0,0,0,0,0,0
0.573,0.57,0.575,81.12,44.15,57.29,2.47,140.81,239.09,0,0,0,0.01,0.01,0.03,0.05,0.09,0.14,0.21,0.28,0.34,0.36,0.35,0.33,0.31,0.29,0.27,0.29,0.32,0.35,0.41,0.47,0.54,0.63,0.74,0.87,1.01,1.17,1.33,1.49,1.65,1.8,1.94,2.08,2.2,2.34,2.5,2.69,2.93,3.22,3.58,3.98,4.42,4.84,5.21,5.49,5.68,5.81,5.53,5.02,4.34,3.56,2.79,2.01,1.23,0.45,0,0,0,0,0,0,0
0.583,0.58,0.585,59.87,25.88,41.23,2.84,113.51,229.24,0,0,0.01,0.01,0.03,0.05,0.09,0.15,0.23,0.32,0.41,0.47,0.49,0.48,0.46,0.43,0.4,0.39,0.42,0.46,0.52,0.61,0.71,0.83,0.98,1.16,1.37,1.6,1.84,2.08,2.32,2.53,2.71,2.86,2.97,3.07,3.15,3.24,3.34,3.47,3.64,3.83,4.03,4.22,4.38,4.49,4.57,4.41,4.11,3.69,3.18,2.64,2.11,1.63,1.22,0.8,0.39,0,0,0,0,0,0,0
0.593,0.59,0.595,49.2,20.92,35.23,2.74,99.75,211.76,0,0,0.01,0.02,0.03,0.06,0.1,0.16,0.24,0.34,0.43,0.49,0.51,0.49,0.47,0.44,0.41,0.4,0.43,0.48,0.55,0.65,0.77,0.91,1.08,1.29,1.52,1.78,2.05,2.32,2.58,2.82,3.04,3.22,3.36,3.48,3.58,3.68,3.77,3.88,3.98,4.07,4.15,4.2,4.22,4.2,4,3.71,3.35,2.94,2.51,2.09,1.71,1.33,0.94,0.56,0.18,0,0,0,0,0,0,0
0.603,0.6,0.605,11.95,13.48,25.99,2.65,79.39,245.38,0,0,0.01,0.02,0.04,0.07,0.12,0.19,0.29,0.4,0.51,0.59,0.62,0.61,0.59,0.57,0.54,0.54,0.59,0.66,0.76,0.89,1.04,1.23,1.46,1.73,2.03,2.37,2.71,3.05,3.36,3.63,3.85,4,4.1,4.13,4.13,4.09,4.04,3.97,3.89,3.79,3.7,3.52,3.27,2.96,2.59,2.21,1.86,1.56,1.33,1.18,1.09,1.02,0.93,0.77,0.51,0.25,0,0,0,0,0,0
0.618,0.615,0.62,36.62,17.37,27.74,2.58,76.64,210.18,0,0,0,0.01,0.02,0.04,0.08,0.14,0.22,0.32,0.43,0.52,0.56,0.55,0.54,0.53,0.5,0.5,0.54,0.59,0.66,0.77,0.9,1.04,1.23,1.44,1.69,1.96,2.24,2.53,2.8,3.05,3.28,3.49,3.66,3.82,3.96,4.09,4.22,4.34,4.42,4.48,4.5,4.5,4.3,3.96,3.51,2.98,2.43,1.92,1.49,1.15,0.92,0.75,0.62,0.46,0.26,0.06,0,0,0,0,0,0
0.623,0.62,0.625,17.71,15.17,25.21,2.48,71.18,201.87,0,0,0.01,0.02,0.04,0.07,0.12,0.18,0.27,0.38,0.48,0.56,0.58,0.57,0.54,0.52,0.48,0.47,0.5,0.54,0.61,0.71,0.84,1,1.2,1.45,1.73,2.05,2.4,2.75,3.1,3.43,3.72,3.96,4.16,4.3,4.4,4.45,4.47,4.45,4.4,4.32,4.22,4.03,3.75,3.39,2.97,2.51,2.06,1.66,1.32,1.06,0.87,0.72,0.58,0.41,0.24,0,0,0,0,0,0,0
0.633,0.63,0.635,6.91,7.1,13.62,2.5,42.22,194.04,0,0.01,0.01,0.03,0.06,0.1,0.18,0.28,0.42,0.59,0.77,0.9,0.96,0.97,0.96,0.96,0.94,0.96,1.06,1.19,1.36,1.58,1.84,2.13,2.47,2.85,3.24,3.63,3.99,4.3,4.52,4.65,4.68,4.61,4.45,4.22,3.95,3.66,3.36,3.08,2.83,2.59,2.35,2.11,1.85,1.57,1.29,1.02,0.8,0.64,0.54,0.5,0.49,0.49,0.44,0.35,0.2,0.05,0,0,0,0,0,0
0.638,0.635,0.64,36.9,18.66,26.47,2.45,68.28,138.11,0,0,0,0.01,0.02,0.05,0.09,0.15,0.24,0.35,0.47,0.56,0.6,0.59,0.58,0.55,0.52,0.51,0.54,0.59,0.65,0.75,0.86,0.98,1.13,1.31,1.51,1.72,1.96,2.21,2.47,2.72,2.99,3.25,3.51,3.76,4.02,4.28,4.53,4.74,4.92,5.03,5.09,5.11,4.86,4.43,3.86,3.2,2.52,1.9,1.39,1.02,0.64,0.26,0,0,0,0,0,0,0,0,0,0
0.643,0.64,0.645,51.98,30.9,40.95,2.39,102.46,219.08,0,0,0,0.01,0.02,0.04,0.07,0.12,0.19,0.28,0.37,0.44,0.47,0.46,0.44,0.42,0.39,0.37,0.39,0.42,0.46,0.52,0.6,0.68,0.79,0.91,1.05,1.2,1.37,1.54,1.72,1.9,2.08,2.26,2.46,2.67,2.91,3.2,3.52,3.89,4.29,4.69,5.06,5.38,5.63,5.81,5.57,5.09,4.42,3.66,2.89,2.19,1.63,1.21,0.91,0.61,0.31,0.01,0,0,0,0,0,0
0.648,0.645,0.65,59.91,30.66,44.08,2.68,116.11,228.18,0,0,0.01,0.02,0.03,0.06,0.1,0.15,0.23,0.31,0.4,0.46,0.48,0.47,0.44,0.42,0.39,0.37,0.39,0.43,0.48,0.55,0.63,0.73,0.85,1,1.17,1.36,1.56,1.77,1.97,2.16,2.33,2.48,2.61,2.74,2.87,3.03,3.22,3.45,3.72,4.03,4.35,4.64,4.88,5.05,5.17,4.94,4.52,3.98,3.38,2.77,2.22,1.75,1.29,0.82,0.35,0,0,0,0,0,0,0
0.653,0.65,0.655,49.69,21.5,38.36,2.81,112.35,257.74,0,0,0.01,0.02,0.03,0.06,0.1,0.16,0.24,0.33,0.42,0.48,0.5,0.49,0.48,0.46,0.43,0.42,0.45,0.49,0.55,0.64,0.75,0.87,1.04,1.24,1.48,1.74,2.03,2.31,2.59,2.83,3.04,3.21,3.34,3.43,3.5,3.57,3.64,3.72,3.82,3.92,4.01,4.07,4.1,4.1,3.9,3.59,3.22,2.82,2.45,2.12,1.84,1.59,1.34,1.04,0.67,0.3,0,0,0,0,0,0
0.658,0.655,0.66,24.81,14.96,26.17,2.64,76,245.21,0,0,0.01,0.02,0.04,0.07,0.12,0.2,0.29,0.4,0.52,0.6,0.63,0.62,0.6,0.58,0.55,0.53,0.57,0.63,0.71,0.82,0.96,1.13,1.35,1.6,1.88,2.18,2.5,2.81,3.1,3.36,3.58,3.76,3.88,3.98,4.04,4.09,4.13,4.16,4.17,4.16,4.11,4.03,3.78,3.42,2.95,2.43,1.93,1.51,1.2,1.03,0.96,0.93,0.88,0.74,0.5,0.26,0,0,0,0,0,0
