COU,Country,VAR,Variable,Landuse
ETH,Ethiopia,Ara,Arable and cropland % land area,15.864
ETH,Ethiopia,For,Forest % land area,15.189
ETH,Ethiopia,Mea,Meadows and pastures % land area,17.722
ETH,Ethiopia,Oth,Other % land area,51.226
FIN,Finland,Ara,Arable and cropland % land area,7.403
FIN,Finland,For,Forest % land area,73.731
FIN,Finland,Mea,Meadows and pastures % land area,0.079
FIN,Finland,Oth,Other % land area,18.787
FJI,Fiji,Ara,Arable and cropland % land area,13.684
FJI,Fiji,For,Forest % land area,62.033
FJI,Fiji,Mea,Meadows and pastures % land area,9.579
FJI,Fiji,Oth,Other % land area,14.705
FLK,Falkland Islands,For,Forest % land area,0
FLK,Falkland Islands,Mea,Meadows and pastures % land area,92.827
FLK,Falkland Islands,Oth,Other % land area,7.173
FRA,France,Ara,Arable and cropland % land area,34.837
FRA,France,For,Forest % land area,31.357
FRA,France,Mea,Meadows and pastures % land area,17.433
FRA,France,Oth,Other % land area,16.373
FRO,Faeroe Islands,Ara,Arable and cropland % land area,2.149
FRO,Faeroe Islands,For,Forest % land area,0.057
FRO,Faeroe Islands,Oth,Other % land area,97.794
FSM,Micronesia,Ara,Arable and cropland % land area,27.143
FSM,Micronesia,For,Forest % land area,91.986
FSM,Micronesia,Mea,Meadows and pastures % land area,4.286
GAB,Gabon,Ara,Arable and cropland % land area,1.921
GAB,Gabon,For,Forest % land area,91.367
GAB,Gabon,Mea,Meadows and pastures % land area,6.666
GAB,Gabon,Oth,Other % land area,0.046
GBR,United Kingdom,Ara,Arable and cropland % land area,25.344
GBR,United Kingdom,For,Forest % land area,13.153
GBR,United Kingdom,Mea,Meadows and pastures % land area,47.079
GBR,United Kingdom,Oth,Other % land area,13.207
GEO,Georgia,Ara,Arable and cropland % land area,6.156
GEO,Georgia,For,Forest % land area,40.616
GEO,Georgia,Mea,Meadows and pastures % land area,27.918
GEO,Georgia,Oth,Other % land area,25.31
GHA,Ghana,Ara,Arable and cropland % land area,22.945
GHA,Ghana,For,Forest % land area,35.064
GHA,Ghana,Mea,Meadows and pastures % land area,32.446
GHA,Ghana,Oth,Other % land area,9.545
