"Code","Group","Sample.ID","Type","Easting","Northing","Longitude","Latitude","Location","Depth_min","Depth_max","pH","EC","Al","As","Ba","Ca","Cd","Ce","Cr","Cu","Fe","Gd","K","La","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","S","Sr","Th","V","Y","Zn"
"SLR_10_35.1",10,"35.1","Soil",391399,6466355,115.8511019,-31.93353897,"Smith's Lake Reserve (SLR)",0,0.1,7.44,152.6,2623,5.86,21.13,5024,0.12,3.67,10.76,18.43,4341,0.62,198,1.68,484,43.07,0.6,113.9,0.88,5.39,595.8,38.05,422.08,21.13,1.19,7.16,1.56,106.99
"SLR_10_35.2",10,"35.2","Soil",391387,6466365,115.8509761,-31.93344762,"Smith's Lake Reserve (SLR)",0,0.1,7.59,195.8,3600,2.73,10.95,5778,0.06,6.54,6.36,3.81,2453,0.42,202.9,1.84,461.8,84.17,0.3,158.3,1.11,1.31,171.2,3.23,279.07,38.39,1.2,5.51,0.92,18.15
"SLR_10_36.1",10,"36.1","Soil",391366,6466311,115.8507479,-31.9339327,"Smith's Lake Reserve (SLR)",0,0.1,7.52,83,2654,2.07,9.54,1900,NA,5.72,5.35,5.72,2013,0.29,137.9,1.7,223.28,76.55,0.33,76.2,1.27,0.96,383.5,3.98,193.5,10.35,0.94,4.75,0.71,18.43
"SLR_11_9",11,"9","Sediment",391340,6466427,115.8504859,-31.93288388,"Smith's Lake Reserve (SLR)",0,0.1,7.06,NA,1743,3.62,9.87,1074,0.05,4.93,5.2,13.75,3841,0.63,151.4,2.65,332.75,15.32,0.76,111.8,1.75,2.09,80.1,27.11,3070.32,5.15,2.06,4.44,1.25,79.8
"SLR_11_10",11,"10","Sediment",391340,6466437,115.8504871,-31.93279368,"Smith's Lake Reserve (SLR)",0,0.1,5.28,NA,1713,1.91,5.9,7364,0.02,4.71,3.84,7.71,3215,0.38,202.4,2.88,406.83,21.35,0.28,69.3,1.54,1.81,73.1,9.87,495.92,16.04,2.24,6.62,1.22,37.2
"SLR_11_36B",11,"36B","Soil",391384,6466338,115.8509414,-31.93369088,"Smith's Lake Reserve (SLR)",0,0.1,7.19,569,3667,2.36,12.07,2264,NA,7.59,7.35,7.67,2545,0.47,162.6,2.25,201.17,77.79,0.36,80,1.48,1.48,386.3,4.93,183.79,12.95,1.07,5.73,1.04,15
"SLR_11_37A",11,"37A","Soil",391381,6466300,115.8509054,-31.93403336,"Smith's Lake Reserve (SLR)",0,0.1,8.61,438,2625,2.73,7.26,21945,NA,4.38,7.49,2.13,2039,0.3,102,2.35,308.65,65.28,0.12,72.1,0.24,0.47,60.1,4.44,42.96,43.24,2.12,4.89,1.21,5.59
"SLR_11_38A",11,"38A","Soil",391367,6466285,115.8507556,-31.93416732,"Smith's Lake Reserve (SLR)",0,0.1,7.81,538,2602,1.54,11.38,26570,0.05,2,5.61,6.83,2507,0.33,176,1.7,1303.25,60.2,0.13,253.2,NA,0.81,241.5,17.74,249.77,179.42,1.9,6.98,0.84,22.58
"SLR_11_39A",11,"39A","Soil",391390,6466250,115.8509949,-31.93448522,"Smith's Lake Reserve (SLR)",0,0.1,7.93,275,2782,4.23,16.42,7759,0.02,3.44,8.1,5.05,3358,0.28,104.4,1.63,340.49,22.5,0.22,75.7,0.47,1.54,166.6,25.89,170.74,38.41,1.48,7.11,1.3,43.68
"SLR_11_39B",11,"39B","Sediment",391417,6466263,115.851282,-31.93437054,"Smith's Lake Reserve (SLR)",0,0.1,7.78,413,587,1.37,9.65,66286,0.07,NA,6.48,23.81,833,0.26,100.8,1.12,3253.43,21.74,0.05,552.2,NA,0.84,283.8,12.31,470.32,473.42,0.5,2.54,1.13,15.14
"SLR_12_1",12,"1","Street dust",391187,6466516,115.8488776,-31.93206644,"Smith's Lake Reserve (SLR)",0,0.1,6.99,NA,2336,1.45,19.47,11242,NA,9.13,11.77,40.82,4334,0.66,382,5.48,864.27,49.74,0.34,85.5,3.38,1.92,102.9,10.83,582.5,27.47,3.51,8.18,2.78,62.77
"CVR_12_2",12,"2","Street dust",391078,6466540,115.8477274,-31.9318395,"Charles Veryard Reserve (CVR)",0,0.1,7.93,NA,1668,0.73,27.71,3615,0.02,4.36,5.41,13.89,3037,0.39,207.5,2.42,408.4,27.21,0.22,48.1,1.81,1.26,49.9,15.79,97.19,12.78,1.6,4.89,0.87,78.12
"CVR_12_3",12,"3","Street dust",391112,6466767,115.8481126,-31.9297952,"Charles Veryard Reserve (CVR)",0,0.1,6.81,NA,3359,1.41,20.57,10193,0.03,5.79,9.91,9.92,3880,0.46,500.1,3.43,792.95,39.04,0.45,163.5,1.68,3.19,235.7,14.1,376.06,39.11,2.3,7.35,1.75,69.49
"CVR_12_4",12,"4","Street dust",391405,6466765,115.8512114,-31.92984131,"Charles Veryard Reserve (CVR)",0,0.1,8.03,NA,2918,1.5,14.23,2901,NA,4.52,5.68,6.65,2798,0.51,203.7,2.09,425.26,23.25,0.26,45,1.32,1.23,57,7.1,192.31,13.15,1.84,6.36,0.93,26.52
"SLR_12_5",12,"5","Street dust",391417,6466477,115.851306,-31.93244024,"Smith's Lake Reserve (SLR)",0,0.1,7.14,NA,2152,1.88,13.56,6752,NA,3.99,7.63,12.13,4172,0.37,398.9,1.98,703.1,35.12,0.35,70.3,1.2,2.6,85.4,13.88,134.06,27.99,1.84,6.86,1.19,44.71
"SLR_12_6",12,"6","Street dust",391424,6466362,115.8513671,-31.93347822,"Smith's Lake Reserve (SLR)",0,0.1,8.28,NA,1974,2.03,12.96,21219,0.1,7.44,7.48,34.92,3373,0.28,151.2,5.08,788.14,37.15,0.37,120.4,1.06,2.75,130.1,45.16,141.9,104.41,3.84,6.22,1.05,170.56
"SLR_12_7",12,"7","Street dust",391431,6466246,115.8514282,-31.93452522,"Smith's Lake Reserve (SLR)",0,0.1,7.43,NA,2251,2.28,13.54,6555,NA,4.27,8.99,10.46,4265,0.43,325.6,2.32,678.43,39.82,0.33,65.3,1.54,2.85,97,12.88,182.39,19.93,2.25,7.58,1.14,53.79
"SLR_12_11",12,"11","Sediment",391389,6466501,115.8510125,-31.93222108,"Smith's Lake Reserve (SLR)",0,0.1,6.63,NA,1533,1.47,6.29,6495,NA,3.78,3.54,6.94,2556,0.47,182.5,2.6,371.25,18.91,0.28,61.8,1.39,1.81,71.5,9.93,436.83,14,2.58,5.82,1.13,32.44
"SLR_12_12",12,"12","Sediment",391388,6466495,115.8510013,-31.93227511,"Smith's Lake Reserve (SLR)",0,0.1,6.26,NA,2336,1.74,6.65,661,0.02,3.77,4.83,4.97,3470,0.64,177.6,2.44,334.65,20.88,0.21,69.1,2.01,1.58,78.3,21.98,105.04,3.31,1.71,8.66,2.73,32.27
